#Updated: 02/12/2016 07:21:57
#organism_name	taxID	group	sub group	assembly	level	refSeq FTP	geneBank FTP
Pneumocystis carinii B80	1408658	Fungi	Ascomycetes	GCA_001477545.1 	Contig	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/545/GCF_001477545.1_Pneu_cari_B80_V3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/477/545/GCA_001477545.1_Pneu_cari_B80_V3
Schizosaccharomyces pombe	4896	Fungi	Ascomycetes	GCA_000002945.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.1_ASM294v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/945/GCA_000002945.2_ASM294v2
Saccharomyces cerevisiae S288c	559292	Fungi	Ascomycetes	GCA_000146045.2 	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/045/GCF_000146045.2_R64	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/045/GCA_000146045.2_R64
Emiliania huxleyi CCMP1516	280463	Protists	Other Protists	GCA_000372725.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/372/725/GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/725/GCA_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0
Arabidopsis thaliana	3702	Plants	Land Plants	GCA_000001735.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.3_TAIR10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/735/GCA_000001735.1_TAIR10
Medicago truncatula	3880	Plants	Land Plants	GCA_000219495.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/495/GCF_000219495.3_MedtrA17_4.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/495/GCA_000219495.2_MedtrA17_4.0
Solanum lycopersicum	4081	Plants	Land Plants	GCA_000188115.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/115/GCF_000188115.3_SL2.50	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/115/GCA_000188115.2_SL2.50
Glycine max	3847	Plants	Land Plants	GCA_000004515.3 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/515/GCF_000004515.4_Glycine_max_v2.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/515/GCA_000004515.3_Glycine_max_v2.0
Hordeum vulgare subsp. vulgare	112509	Plants	Land Plants	GCA_000326125.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/326/125/GCA_000326125.1_ASM32612v1
Oryza sativa Japonica Group	39947	Plants	Land Plants	GCA_001433935.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/935/GCF_001433935.1_IRGSP-1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/935/GCA_001433935.1_IRGSP-1.0
